old_content_id,current_content_id,title,content_type_id,previous_address,current_address,change_type,db_action,target_is_active,inactive_reason,verification_count,region_status_round1,region_status_round2,region_status_round3,detail_status_round1,detail_status_round2,detail_status_round3,keyword_status_round1,keyword_status_round2,keyword_status_round3,final_decision,concentration_mapping_action,verified_at_round1,verified_at_round2,verified_at_round3,applied_at,sync_run_id,note,changed_fields,previous_values_json,current_values_json
1952962,,경복궁 북쪽마을 북촌 즐기기,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1952971,,청와대 앞 코스 돌아보기,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1952975,,과거와 현재의 시간이 겹쳐진 부암동길,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1952978,,궁의 북쪽 자하문 돌아보기,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1953116,,북촌을 중심으로 한 조선시대 생활 이야기,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
1953121,,성안 마을 혜화동의 어제와 오늘,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2022929,,"낮이 좋아? 밤이 좋아? 서울의 주경, 야경 여행코스",25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2030911,,서촌에서 즐기는 즐거운 맛산책,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2036023,,서울에서 전통주 체험을 할 수 있는 곳,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2037723,,조선의 왕들이 지극히 아끼던 공간,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2038266,,600년 역사의 재미난 스토리가 흐르는 골목,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2050509,,서울의 아름다운 밤을 바라보다.,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2383723,,"태조 이성계, 조선을 건국하고 종묘와 사직을 세우다",25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2390486,,세련됨에 깃든 촌스러움이 정겹다. 부암동,25,,,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2465879,,서촌게스트하우스,32,서울특별시 종로구 자하문로7길 28-3 (통인동),,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,no_data,no_data,no_data,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2489908,,풍경,32,서울특별시 종로구 성균관로 32-6 (명륜2가),,missing_from_source,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,success,success,success,deactivate_missing,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,3회 연속 목록 누락 및 상세조회 no_data로 비활성화한다.,,,
2498434,2909934,청하고려인삼,38,서울특별시 종로구 자하문로 280 청하빌딩,서울특별시 종로구 자하문로 280 (부암동) 청하빌딩,replaced_id,deactivate_old_row,false,missing_from_source,3,missing,missing,missing,no_data,no_data,no_data,success,success,success,deactivate_replaced_id,none,2026-07-29T17:17:50+09:00,2026-07-29T17:30:37+09:00,2026-07-29T17:50:18+09:00,2026-07-29T19:28:29.033168+09:00,d474ee14-af7f-40f5-a326-6f6ba27e7ff2,현재 ID 2909934는 기존 DB와 최신 스냅샷에 이미 존재하므로 활성 상태를 유지한다.,,,
