content_id,title,중분류,소분류,latitude,longitude
seongdong_273,차이나플레인 서울숲점,외국식,중식,37.543691,127.046418
seongdong_274,천하제일 솥뚜껑,한식,관광식당,37.541614,127.053445
seongdong_275,청계8경 버들습지,자연생태,생태습지,37.572400,127.038400
seongdong_276,청계천 자전거도로,육상레저스포츠,자전거하이킹,37.564609,127.048268
seongdong_277,청계천박물관,전시시설,박물관,37.571266,127.035043
seongdong_278,체다앤올리,간이음식,"피자, 햄버거, 샌드위치 및 유사음식",37.545525,127.043260
seongdong_279,춘향미엔,외국식,중식,37.560609,127.032027
seongdong_280,치카성수,간이음식,제과,37.542386,127.047188
seongdong_281,카린 성수 플래그십 스토어,면세점,사후면세점,37.542952,127.055735
seongdong_282,카시나 성수점,면세점,사후면세점,37.542616,127.053077
seongdong_283,카페 이페메라 LCDC SEOUL,카페/ 찻집,카페,37.541546,127.061322
seongdong_284,카페 차 성수점,카페/ 찻집,카페,37.547919,127.041863
seongdong_285,커피 바넷리,카페/ 찻집,카페,37.546717,127.043739
seongdong_286,코너룸,외국식,서양식,37.549747,127.048010
seongdong_287,코사이어티 서울숲,카페/ 찻집,카페,37.544769,127.045639
seongdong_288,코코온누리약국 뚝섬,면세점,사후면세점,37.546321,127.049514
seongdong_289,퀴버 서울숲,외국식,서양식,37.546455,127.044366
seongdong_290,크림라벨 서울숲 본점,간이음식,제과,37.546605,127.042324
seongdong_291,키스 서울,면세점,사후면세점,37.541786,127.057020
seongdong_292,타이틀리스트 시티투어밴,면세점,사후면세점,37.543280,127.056338
seongdong_293,타코마이너,외국식,서양식,37.543261,127.053853
seongdong_294,탐광,외국식,일식,37.543228,127.055434
seongdong_295,탑텐 왕십리역점,면세점,사후면세점,37.561442,127.038394
seongdong_296,테니 Tenne,카페/ 찻집,기타음료점,37.541093,127.059189
seongdong_297,텐동식당,외국식,일식,37.543392,127.054923
seongdong_298,텐바,외국식,일식,37.543386,127.054248
seongdong_299,튠,면세점,사후면세점,37.540641,127.054727
seongdong_300,트레일헤드 성수점,면세점,사후면세점,37.546118,127.050041
seongdong_301,트리밍버드 성수플래그십스토어,면세점,사후면세점,37.549677,127.053873
seongdong_302,티룸,카페/ 찻집,카페,37.547919,127.043257
seongdong_303,파르코,간이음식,"피자, 햄버거, 샌드위치 및 유사음식",37.546361,127.043393
seongdong_304,파사드패턴,면세점,사후면세점,37.540536,127.048966
seongdong_305,파인드카푸어 플래그쉽 스토어 성수,면세점,사후면세점,37.542201,127.055424
seongdong_306,파타고니아 서울성수낙낙직영점,면세점,사후면세점,37.546394,127.065889
seongdong_307,팜티진쌀국수,외국식,기타외국식,37.542750,127.045221
seongdong_308,페넥 성수 플래그십스토어,면세점,사후면세점,37.544327,127.051650
seongdong_309,페이퍼돌메이트 아틀리에 서울숲점,전문매장/상가,전문상가,37.546380,127.043830
seongdong_310,포레스트 서울숲,카페/ 찻집,카페,37.546799,127.040731
seongdong_311,폴인레미유,카페/ 찻집,카페,37.548369,127.047596
seongdong_312,프롤라,카페/ 찻집,카페,37.541306,127.060953
seongdong_313,플래드카페 서울숲,카페/ 찻집,카페,37.547144,127.039888
seongdong_314,플레이버타운,외국식,기타외국식,37.547033,127.042941
seongdong_315,피스레이어,전문매장/상가,관광기념품/특산물판매점,37.538472,127.056845
seongdong_316,피어커피,카페/ 찻집,카페,37.548974,127.054895
seongdong_317,하고하우스 성수점,면세점,사후면세점,37.547382,127.054018
seongdong_318,하동매실거리,도시.지역문화관광,"골목길, 문화거리",37.563900,127.049700
seongdong_319,하우스 오브 로터스,호스텔,게스트하우스,37.563503,127.029819
seongdong_320,하이라인,카페/ 찻집,카페,37.538999,127.049943
seongdong_321,한강,자연경관(하천‧해양),강,37.538928,127.041622
seongdong_322,한양대학교 박물관,전시시설,박물관,37.557465,127.042929
seongdong_323,한양약국,면세점,사후면세점,37.559556,127.040470
seongdong_324,할머니의 레시피,한식,관광식당,37.546230,127.043102
seongdong_325,해칭룸 성수,면세점,사후면세점,37.544778,127.053801
seongdong_326,헬로우뮤지움,전시시설,미술관/화랑,37.548227,127.053265
seongdong_327,호국무공수훈자공적비,역사유물,탑ㆍ비석ㆍ기념탑,37.560254,127.070116
seongdong_328,호랑도,한식,관광식당,37.548102,127.057564
seongdong_329,호랑이 초밥,외국식,일식,37.546369,127.054784
seongdong_330,호텔포코 성수,호텔,호텔,37.543500,127.057059
seongdong_331,화화돈 성수,외국식,서양식,37.543229,127.054854
seongdong_332,훼미리손칼국수보쌈,한식,관광식당,37.549555,127.044568
seongdong_333,2026 크리에이티브X성수,행사,기타행사,37.542255,127.059466
seongdong_334,5to7,카페/ 찻집,카페,37.546166,127.043318
seongdong_335,CU 뉴성수프리미어점,면세점,사후면세점,37.548161,127.043000
seongdong_336,CU 성동금호점,면세점,사후면세점,37.548174,127.019613
seongdong_337,CU 현대테라스타워점,면세점,사후면세점,37.544086,127.053672
seongdong_338,HDD피자,간이음식,"피자, 햄버거, 샌드위치 및 유사음식",37.542976,127.053218
seongdong_339,ING 페스티벌,행사,기타행사,37.543623,127.043586
seongdong_340,K2 성수사거리점,면세점,사후면세점,37.542755,127.063270
seongdong_341,KWANGYA SEOUL,면세점,사후면세점,37.544155,127.043358
seongdong_342,MLB 성수점,면세점,사후면세점,37.543481,127.052377
seongdong_343,PHYPS MOTORCYCLE,면세점,사후면세점,37.543523,127.054328
seongdong_344,RSG 성수,카페/ 찻집,카페,37.542829,127.058986
seongdong_345,SILD,면세점,사후면세점,37.542376,127.055804
seongdong_346,Scene,카페/ 찻집,카페,37.544883,127.053259
seongdong_347,USS2 어스투,면세점,사후면세점,37.545416,127.046587
seongdong_348,camouflage coffee,카페/ 찻집,카페,37.549044,127.045710
seongdong_349,consume product,면세점,사후면세점,37.542978,127.053217
