content_id,title,중분류,소분류,latitude,longitude
yongsan_134,로코스 비비큐 경리단길본점,외국식,서양식,37.541038,126.995554
yongsan_135,셰프테이너,외국식,서양식,37.537752,126.994931
yongsan_136,쌍대포소금구이 본점,한식,관광식당,37.545648,126.970214
yongsan_137,오츠커피 용산점,카페/ 찻집,카페,37.540468,126.967778
yongsan_138,중식당 청 한남점,외국식,중식,37.535420,127.010069
yongsan_139,휴135,한식,관광식당,37.536719,126.999112
yongsan_140,마구로센 한남점,외국식,일식,37.534338,127.006045
yongsan_141,백년손님,한식,관광식당,37.530662,127.007183
yongsan_142,스즈란테이,외국식,일식,37.520001,126.974442
yongsan_143,오복함흥냉면,한식,관광식당,37.543523,126.972897
yongsan_144,초원,한식,관광식당,37.542639,126.973317
yongsan_145,꾸띠자르당,외국식,서양식,37.533500,126.994618
yongsan_146,댓잎갈비 본점,한식,관광식당,37.524744,127.001826
yongsan_147,보광기사식당,한식,관광식당,37.526112,126.996376
yongsan_148,양인환대,한식,관광식당,37.530194,126.969992
yongsan_149,열정도쭈꾸미,한식,관광식당,37.539121,126.968959
yongsan_150,치즈플로,외국식,서양식,37.537033,126.999459
yongsan_151,크레이트커피,카페/ 찻집,카페,37.535370,127.010808
yongsan_152,한남작업실,카페/ 찻집,카페,37.536528,126.998736
yongsan_153,테이블포포,외국식,서양식,37.534731,127.005258
yongsan_154,베라 한남점,외국식,서양식,37.538763,127.002089
yongsan_155,하나일식,외국식,일식,37.520227,126.967696
yongsan_156,용호야채곱창,한식,관광식당,37.538639,126.961332
yongsan_157,꺼거,외국식,중식,37.531551,126.971126
yongsan_158,먼데이에디션,면세점,사후면세점,37.535860,127.001229
yongsan_159,클로체쥬얼리,면세점,사후면세점,37.532168,126.960884
yongsan_160,나이스클랍 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_161,린 롯데아울렛 서울역,면세점,사후면세점,37.554838,126.971733
yongsan_162,ZIP739 한남점,면세점,사후면세점,37.537419,127.000579
yongsan_163,페트라,외국식,기타외국식,37.534705,126.987738
yongsan_164,주사부,외국식,중식,37.534888,126.974881
yongsan_165,지오송지오 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_166,N기프트,면세점,사후면세점,37.551123,126.987868
yongsan_167,띠어리 복합 한남점,면세점,사후면세점,37.537299,127.000463
yongsan_168,몽벨 용산직영점,면세점,사후면세점,37.528176,126.967523
yongsan_169,금강제화 상설아울렛 남영점,면세점,사후면세점,37.543720,126.971599
yongsan_170,나이키골프 아이파크몰 용산점,면세점,사후면세점,37.529772,126.964742
yongsan_171,올리브영 숙대점,면세점,사후면세점,37.544277,126.969380
yongsan_172,수트서플라이 한남점,면세점,사후면세점,37.541052,126.996274
yongsan_173,파라부트,면세점,사후면세점,37.535446,126.999225
yongsan_174,아이파크몰의원,면세점,사후면세점,37.529772,126.964742
yongsan_175,롯데마트 제타플렉스 롯데아울렛 서울역점,면세점,사후면세점,37.554728,126.969526
yongsan_176,센츄럴팜약국 서울역점,면세점,사후면세점,37.554728,126.969526
yongsan_177,멘드의원,면세점,사후면세점,37.533599,127.008698
yongsan_178,킨키로봇 한남점,면세점,사후면세점,37.537527,127.002433
